PCode,Sante ID,District ID,Nom Institute,Operating Organisation,Comment,Y DDS,Commune,Facility Name (English),Departemen,Categorie,Construction Type,X DDS,Source,FID Value,Commune Code,Facility Name (French),Fax,Accuracy,Region ID,Health Center ID,Facility Name (Kreyol),Type,Damage,Telephone,Commune ID,Address,Email,latitude,longitude
95014,9,9,CENTRE DE SANTE SAINT PIERRE,,,18.67478,CORNILLON / GRAND-BOIS,,OUEST,C/S,,-71.952891,2005 MSPP database with geocodes,40,134,,,,1,1340035,,,,,34,,,18.6747805008,-71.9528917943
13501,2,9,CENTRE DE SANTE DE FONDS-VERETTES,MSPP,,18.393975,FONDS-VERRETTES,,OUEST,CAL,,-71.854171,2005 MSPP database with geocodes,41,135,,,,1,1350036,,PUB,,,35,,,18.3939756998,-71.8541710288
13502,10,9,DP DE FORET DES PINS,,,18.322604,FONDS-VERRETTES,,OUEST,DISP,,-71.775228,2005 MSPP database with geocodes,42,135,,,,1,1350037,,PUB,,,35,,,18.3226046559,-71.7752286513
13503,13,9,NOTRE DAME DES PINS D'ORIANIE,,,18.30613,FONDS-VERRETTES,,OUEST,DISP,,-71.832342,2005 MSPP database with geocodes,43,135,,,,1,1350038,,PRI,,,35,,,18.3061307777,-71.8323426167
95015,0,1,DP DE COTE DE FER,,,19.832374,JEAN RABEL,,NORD OUEST,DISP,,-73.266488,2005 MSPP database with geocodes,44,934,,,,9,9349003,,,,,34,,,19.8323743958,-73.2664885822
95016,2,1,DISPENSAIRE DE DERAC,MSPP / CDS,,19.661356,FORT LIBERTE,,NORD EST,DISP,,-71.813259,2005 MSPP database with geocodes,45,411,,,,4,4110040,,,,,11,,,19.6613568861,-71.8132593575
95017,4,1,DISPENSAIRE D'ACUL SAMEDI,MSPP / CDS,,19.520589,FORT LIBERTE,,NORD EST,DISP,,-71.881861,2005 MSPP database with geocodes,46,411,,,,4,4110041,,,,,11,,,19.520589903,-71.8818615377
95018,3,1,DISPENSAIRE DE FERRIER,MSPP,,19.616237,FERRIER,,NORD EST,DISP,,-71.779926,2005 MSPP database with geocodes,47,412,,,,4,4120042,,,,,12,,,19.6162373043,-71.7799261797
95019,3,1,DISPENSAIRE DES PERCHES,MSPP,,19.521274,PERCHES,,NORD EST,DISP,,-71.921786,2005 MSPP database with geocodes,48,413,,,,4,4130043,,,,,13,,,19.5212745753,-71.9217863771
95020,2,2,CENTRE MEDICOSOCIAL DE OUANAMINTHE,MSPP/CDS,,19.549002,OUANAMINTHE,,NORD EST,C/S,,-71.719786,2005 MSPP database with geocodes,49,421,,,,4,4210044,,,,,21,,,19.5490025881,-71.719786967
95021,1,3,DISPENSAIRE DE SAINTE - SUZANNE,MSPP,,19.583305,SAINTE SUZANE,,NORD EST,DISP,,-72.088967,2005 MSPP database with geocodes,50,432,,,,4,4320050,,,,,32,,,19.5833057633,-72.0889678558
95022,6,3,DISPENSAIRE DE DUPITY,MSPP / EGLISE CATHOLIQUE,,19.48332,SAINTE SUZANE,,NORD EST,DISP,,-72.049989,2005 MSPP database with geocodes,51,432,,,,4,4320051,,,,,32,,,19.4833209392,-72.0499892131
95023,1,3,CENTRE DE SANTE SAINT PIERRE DE TERRIER - ROUGE,MSPP / EGLISE CATHOLIQUE,,19.636422,TERRIER ROUGE,,NORD EST,C/S,,-71.953599,2005 MSPP database with geocodes,52,433,,,,4,4330052,,,,,33,,,19.63642246,-71.9535996376
95024,4,3,CENTRE DE SANTE NOTRE DAME DE LOURDES DE GRAND - BASSIN,MSPP / EGLISE CATHOLIQUE,,19.572695,TERRIER ROUGE,,NORD EST,C/S,,-71.936838,2005 MSPP database with geocodes,53,433,,,,4,4330053,,,,,33,,,19.5726957786,-71.9368384803
95025,6,3,DISPENSAIRE DE PHAETON,MSPP,,19.676543,TERRIER ROUGE,,NORD EST,DISP,,-71.895386,2005 MSPP database with geocodes,54,433,,,,4,4330054,,,,,33,,,19.6765432421,-71.8953867063
95026,7,3,DISPENSAIRE DE DANDA,EGLISE BAPTISTE,,19.559201,TERRIER ROUGE,,NORD EST,DISP,,-71.885756,2005 MSPP database with geocodes,55,433,,,,4,4330055,,,,,33,,,19.5592012026,-71.8857568365
95027,3,3,JACQUEZIL,MSPP / EGLISE CATHOLIQUE,,19.684816,CARACOL,,NORD EST,Other,,-71.992103,2005 MSPP database with geocodes,56,434,,,,4,4340056,,,,,34,,,19.6848163754,-71.9921031032
95028,4,3,DISPENSAIRE DE CARACOL,MSPP,,19.692288,CARACOL,,NORD EST,DISP,,-72.017907,2005 MSPP database with geocodes,57,434,,,,4,4340057,,,,,34,,,19.6922885728,-72.0179073859
95029,2,4,DISPENSAIRE DE VALLIERES,MSPP,,19.434884,VALLIERE,,NORD EST,DISP,,-71.920631,2005 MSPP database with geocodes,58,441,,,,4,4410058,,,,,41,,,19.4348845572,-71.9206313122
95030,5,4,DISPENSAIRE DE GROSSE ROCHE,MSPP,,19.477969,VALLIERE,,NORD EST,DISP,,-71.995801,2005 MSPP database with geocodes,59,441,,,,4,4410059,,,,,41,,,19.4779699302,-71.9958012182
95031,1,4,DISPENSAIRE DE CARICE,MSPP,,19.377804,CARICE,,NORD EST,DISP,,-71.830688,2005 MSPP database with geocodes,60,442,,,,4,4420060,,,,,42,,,19.3778041901,-71.8306881669
95032,5,4,CARICE STE - HELENE,EGLISE CATHOLIQUE,,19.377745,CARICE,,NORD EST,Other,,-71.835635,2005 MSPP database with geocodes,61,442,,,,4,4420061,,,,,42,,,19.3777459538,-71.8356352621
95033,1,4,DISPENSAIRE DE BOIS DE LAURENCE,MSPP,,19.328753,MOMBIN CROCHU,,NORD EST,DISP,,-71.862986,2005 MSPP database with geocodes,62,443,,,,4,4430062,,,,,43,,,19.3287537144,-71.8629865761
95034,2,4,CENTRE DE SANTE DE MOMBIN CROCHU,MSPP,,19.369569,MOMBIN CROCHU,,NORD EST,C/S,,-71.982289,2005 MSPP database with geocodes,63,443,,,,4,4430063,,,,,43,,,19.3695693213,-71.9822899725
95035,14,7,DP DE GABRIEL,HAS,,18.972191,VERRETTES,,ARTIBONITE,DISP,,-72.461135,2005 MSPP database with geocodes,64,532,,,,5,5320064,,,,,32,,,18.9721916716,-72.4611358487
95036,0,7,DP DE TERRE NETTE,HAS,,19.006887,VERRETTES,,ARTIBONITE,DISP,,-72.55017,2005 MSPP database with geocodes,65,532,,,,5,5329004,,,,,32,,,19.0068878557,-72.5501706505
95037,0,7,DP DE MOORNE DROUET,Inter Aid,,19.108774,PETITE RIVIERE DE L'ARTIBONITE,,ARTIBONITE,DISP,,-72.435336,2005 MSPP database with geocodes,66,542,,,,5,5429002,,,,,42,,,19.1087741317,-72.4353360767
95038,7,7,DP DE BASTIEN,,,19.046027,VERRETTES,,ARTIBONITE,DISP,,-72.502938,2005 MSPP database with geocodes,67,532,,,,5,5320067,,,,,32,,,19.0460277229,-72.5029388165
95039,12,7,DP DE PLASSAC,HAS,,19.071905,PETITE RIVIERE DE L'ARTIBONITE,,ARTIBONITE,DISP,,-72.402652,2005 MSPP database with geocodes,68,542,,,,5,5420068,,,,,42,,,19.0719056974,-72.4026528478
95040,0,7,DP DE MEDOR,Inter Aid,,19.037398,PETITE RIVIERE DE L'ARTIBONITE,,ARTIBONITE,DISP,,-72.315994,2005 MSPP database with geocodes,69,542,,,,5,5429001,,,,,42,,,19.0373982988,-72.3159946529
95041,5,7,DP DE DESLANDES,HAS,,18.949626,PETITE RIVIERE DE L'ARTIBONITE,,ARTIBONITE,DISP,,-72.308367,2005 MSPP database with geocodes,70,542,,,,5,5420070,,,,,42,,,18.9496261118,-72.3083675681
95042,6,7,DP DE MAUGE PLICHE,,,19.161503,PETITE RIVIERE DE L'ARTIBONITE,,ARTIBONITE,DISP,,-72.55792,2005 MSPP database with geocodes,71,542,,,,5,5420071,,,,,42,,,19.1615036246,-72.5579209019
95043,10,7,DP DE PERODIN,,,19.107753,PETITE RIVIERE DE L'ARTIBONITE,,ARTIBONITE,DISP,,-72.303965,2005 MSPP database with geocodes,72,542,,,,5,5420072,,,,,42,,,19.1077539265,-72.3039654819
95044,10,6,DP DE GOYAVIER,,,19.044394,SAINT-MARC,,ARTIBONITE,DISP,,-72.632558,2005 MSPP database with geocodes,73,531,,,,5,5310073,,,,,31,,,19.0443946928,-72.6325584307
95045,20,6,DP DE BARBE,MSPP,,19.096178,SAINT-MARC,,ARTIBONITE,DISP,,-72.664161,2005 MSPP database with geocodes,74,531,,,,5,5310074,,,,,31,,,19.0961785988,-72.6641617675
95046,0,6,CENTRE DE SANTE LANZAC,,,18.97815,SAINT-MARC,,ARTIBONITE,C/S,,-72.721266,2005 MSPP database with geocodes,75,531,,,,5,5319001,,,,,31,,,18.9781506876,-72.7212660618
95047,18,6,DP DE GILBERT,,,19.102389,SAINT-MARC,,ARTIBONITE,DISP,,-72.586891,2005 MSPP database with geocodes,76,531,,,,5,5310076,,,,,31,,,19.1023890397,-72.5868919478
95048,0,6,DP DE GRANDE SALINE,,,19.241942,SAINT-MARC,,ARTIBONITE,DISP,,-72.772287,2005 MSPP database with geocodes,77,531,,,,5,5319004,,,,,31,,,19.2419422979,-72.7722879818
95049,19,6,DP DE TERRE BALNCHE,MSPP,,19.071311,SAINT-MARC,,ARTIBONITE,DISP,,-72.67968,2005 MSPP database with geocodes,78,531,,,,5,5310078,,,,,31,,,19.0713117483,-72.6796805395
95050,6,5,CENTRE DE SANTE DE PORT-MARGOT,MSPP/ICC,,19.751174,PORT MARGOT,,NORD,C/S,,-72.429289,2005 MSPP database with geocodes,79,352,,,,3,3520079,,,,,52,,,19.7511746307,-72.4292894071
95051,12,5,CENTRE DE SANTE SAINT MALACHY,EGLISE CATHOLIQUE,,19.75062,PORT MARGOT,,NORD,C/S,,-72.428401,2005 MSPP database with geocodes,80,352,,,,3,3520080,,,,,52,,,19.7506200852,-72.4284017832
95052,7,5,DISPENSAIRE DE PETIT BOURG DE PORT-MARGOT,MSPP/ICC,,19.721284,PORT MARGOT,,NORD,DISP,,-72.453254,2005 MSPP database with geocodes,81,352,,,,3,3520081,,,,,52,,,19.7212847844,-72.4532543264
95053,0,5,CLINIQUE SAINT BERTIN,REV. PERE,,19.722106,PORT MARGOT,,NORD,C/S,,-72.453899,2005 MSPP database with geocodes,82,352,,,,3,3529001,,,,,52,,,19.722106653,-72.4538992692
95054,10,5,CENTRE DE SANTE DE BAYEUX,DR.. BIBIA,,19.808285,PORT MARGOT,,NORD,C/S,,-72.433495,2005 MSPP database with geocodes,83,352,,,,3,3520083,,,,,52,,,19.8082857688,-72.4334959899
95055,0,3,DISPENSAIRE COMMUNAUTAIRE DE DITY,,,19.683268,ACUL DU NORD,,NORD,DISP,,-72.319315,2005 MSPP database with geocodes,84,321,,,,3,3219002,,,,,21,,,19.6832680224,-72.3193156893
95056,15,3,DISPENSAIRE LA BRUYERE,,,19.639051,ACUL DU NORD,,NORD,DISP,,-72.307823,2005 MSPP database with geocodes,85,321,,,,3,3210085,,,,,21,,,19.6390512449,-72.3078238512
95057,11,3,DISPENSAIRE LA DELIVRANCE,,,19.61662,ACUL DU NORD,,NORD,DISP,,-72.289645,2005 MSPP database with geocodes,86,321,,,,3,3210086,,,,,21,,,19.6166205126,-72.2896455352
95058,3,3,DISPENSAIRE DE TOVAR,EGLISE METHODISTE,,19.624877,ACUL DU NORD,,NORD,DISP,,-72.288115,2005 MSPP database with geocodes,87,321,,,,3,3210087,,,,,21,,,19.6248772261,-72.2881157756
95059,0,3,CENTRE MEDICAL DE SECOURS CHRETIEN,,,19.705282,ACUL DU NORD,,NORD,C/S,,-72.326614,2005 MSPP database with geocodes,88,321,,,,3,3219001,,,,,21,,,19.7052820902,-72.3266142665
95060,10,3,DISPENSAIRE DE CAMP LOUISE,MSPP,,19.747558,ACUL DU NORD,,NORD,DISP,,-72.347921,2005 MSPP database with geocodes,89,321,,,,3,3210089,,,,,21,,,19.7475583422,-72.3479210608
95061,8,6,DISPENSAIRE DE CAMP COQ,MSPP,,19.633546,LIMBE,,NORD,DISP,,-72.42584,2005 MSPP database with geocodes,90,361,,,,3,3610090,,,,,61,,,19.6335466614,-72.4258401775
95062,11,6,DISPENSAIRE HAUT LIMBE,,,19.699107,LIMBE,,NORD,DISP,,-72.356567,2005 MSPP database with geocodes,91,361,,,,3,3610091,,,,,61,,,19.6991075808,-72.3565671108
95063,5,7,DISPENSAIRE ST HENRY ROSE THOMAS,EGLISE CATHOLIQUE,,19.539053,PLAISANCE,,NORD,DISP,,-72.472919,2005 MSPP database with geocodes,92,371,,,,3,3710092,,,,,71,,,19.5390535968,-72.4729191591
95064,4,7,DISPENSAIRE LA TROUBLE,ICC(INTERN,,19.567023,PLAISANCE,,NORD,DISP,,-72.441769,2005 MSPP database with geocodes,93,371,,,,3,3710093,,,,,71,,,19.5670237042,-72.4417694609
95065,3,7,DISPENSAIRE DE GOBERT,,,19.629631,PLAISANCE,,NORD,DISP,,-72.506253,2005 MSPP database with geocodes,94,371,,,,3,3710094,,,,,71,,,19.629631646,-72.5062531676
95066,0,5,DISPENSAIRE LA FONDATION NOVION,,,19.81475,PORT MARGOT,,NORD,DISP,,-72.461214,2005 MSPP database with geocodes,95,352,,,,3,3529002,,,,,52,,,19.8147502701,-72.4612146037
95067,9,4,DISPENSAIRE ST JOSEPH,SOEURS DE ST JOSEPH,,19.436387,ST. RAPHAEL,,NORD,DISP,,-72.200492,2005 MSPP database with geocodes,96,341,,,,3,3410096,,,,,41,,,19.43638747,-72.2004920076
95068,10,2,DISPENSAIRE DE THILBAULT,SOEURS DE,,19.633023,MILOT,,NORD,DISP,,-72.227267,2005 MSPP database with geocodes,97,323,,,,3,3230097,,,,,23,,,19.6330236573,-72.2272676059
95069,8,2,DISPENSAIRE CARREFOUR DES PERES,MSPP,,19.684647,MILOT,,NORD,DISP,,-72.20557,2005 MSPP database with geocodes,98,323,,,,3,3230098,,,,,23,,,19.6846477854,-72.205570934
95070,14,2,CENTRE DE SANTE LA PROVIDENCE DE LORY,GERER PAR LA COMMUNAUTE,,19.716859,MILOT,,NORD,C/S,,-72.226939,2005 MSPP database with geocodes,99,323,,,,3,3230099,,,,,23,,,19.716859845,-72.2269395384
95071,6,3,DISPENSAIRE ZO MEDA DE MORNE ROUGE,MSPP,,19.710544,PLAINE DU NORD,,NORD,DISP,,-72.266041,2005 MSPP database with geocodes,100,322,,,,3,3220100,,,,,22,,,19.7105445017,-72.2660419962
95072,7,3,DISPENSAIRE DE ROBILLARD,MSPP,,19.616204,PLAINE DU NORD,,NORD,DISP,,-72.258589,2005 MSPP database with geocodes,101,322,,,,3,3220101,,,,,22,,,19.6162042944,-72.2585898123
95073,12,3,CENTRE DE SANTE ST FRANCOIS DE SALES,,,19.718419,PLAINE DU NORD,,NORD,C/S,,-72.252597,2005 MSPP database with geocodes,102,322,,,,3,3220102,,,,,22,,,19.7184198075,-72.2525979947
95074,4,3,DISPENSAIRE CATHOLIQUE DE BALAN,EGLISE CAT,,19.726722,PLAINE DU NORD,,NORD,DISP,,-72.298023,2005 MSPP database with geocodes,103,322,,,,3,3220103,,,,,22,,,19.7267221387,-72.2980237909
95075,0,3,CENTRE MEDICO SOCIAL,,,19.676839,PLAINE DU NORD,,NORD,C/S,,-72.270189,2005 MSPP database with geocodes,104,322,,,,3,3229001,,,,,22,,,19.6768391741,-72.2701891133
95076,14,3,CLINIQUE MEDICO-CHIRURGICALE DUGUE,DR. DUGUE,,19.707235,PLAINE DU NORD,,NORD,C/S,,-72.278225,2005 MSPP database with geocodes,105,322,,,,3,3220105,,,,,22,,,19.7072356706,-72.2782252877
95077,16,3,CENTRE DE SANTE JEHOVAH JIREH,,,19.677599,PLAINE DU NORD,,NORD,C/S,,-72.27091,2005 MSPP database with geocodes,106,322,,,,3,3220106,,,,,22,,,19.6775995487,-72.2709101934
95078,9,3,CENTRE MEDICAL BETHESDA DE VAUDREUIL,,,19.719952,PLAINE DU NORD,,NORD,C/S,,-72.251856,2005 MSPP database with geocodes,107,322,,,,3,3220107,,,,,22,,,19.7199523805,-72.2518567056
95079,6,4,DISPENSAIRE ST JOSEPH,EGLISE CATHOLIQUE,,19.336228,PIGNON,,NORD,DISP,,-72.114158,2005 MSPP database with geocodes,108,344,,,,3,3440108,,,,,44,,,19.3362283888,-72.1141587612
95080,3,4,CENTRE DE SANTE LA VICTOIRE,CBP,,19.338179,LA VICTOIRE,,NORD,C/S,,-72.023904,2005 MSPP database with geocodes,109,345,,,,3,3450109,,,,,45,,,19.3381794752,-72.0239049341
95081,4,6,CENTRE DE SANTE DE BAS- LIMBE,MSPP/ICC,,19.780242,BAS LIMBE,,NORD,C/S,,-72.379573,2005 MSPP database with geocodes,110,362,,,,3,3620110,,,,,62,,,19.780242158,-72.3795734695
95082,7,5,DISPENSAIRE DE PETIT BOURG DE BORGNE,,,19.812163,BORGNE,,NORD,DISP,,-72.57187,2005 MSPP database with geocodes,111,351,,,,3,3510111,,,,,51,,,19.812163045,-72.5718705496
95083,4,4,CENTRE DE SANTE DE DONDON,CBP(COMITE BIENFAISANCE DE PIGNON),,19.526685,DONDON,,NORD,C/S,,-72.244629,2005 MSPP database with geocodes,112,342,,,,3,3420112,,,,,42,,,19.526685611,-72.2446293655
95084,8,4,DISPENSAIRE ST JOSEPH,SOEURS ST JOSEPH DE ST VALLIER,,19.52619,DONDON,,NORD,DISP,,-72.241752,2005 MSPP database with geocodes,113,342,,,,3,3420113,,,,,42,,,19.526190258,-72.2417523209
95085,0,1,CENTRE DE SANTE DE CHAMSOLME,MSPP,,19.75362,CAP HAITIEN,,NORD,Unknown,,-72.205744,2005 MSPP database with geocodes,114,311,,,,3,3119005,,,,,11,,,19.7536201088,-72.2057443518
